date,channel,target,url,status,response,install_signal,user_type,objection,feature_request,next_follow_up,notes
2026-05-26,planning,worldwide Android campaign,https://play.google.com/store/apps/details?id=com.fieldbill.app,ready,,,,,,,Created campaign queue; no outreach sent by Codex.
2026-05-26,email,info@dgekc.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d0241c4874a,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,info.electrickansascity@gmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d042f0e4a26,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,westhues@westhues.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d05f4eb73a2,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,info@kansascityelectricians.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d07ad4d0a23,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,office@exceptionalelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d096a86c68e,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,phil@midamericaelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d0b4183c076,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,info@prante.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d0cec815d58,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,polaritysolar@gmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d0ea30a845c,,solar contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,rayo@solarrichpower.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d10471cf107,,solar contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,40LAVERNFRAZIER@gmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d12059eff92,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,garrettsmith837@gmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d13ed7d3a26,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,greentechelectrical@yahoo.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d15aa9e6552,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
